X(E/m),Y(N/m)
330190.786573277553543,4156693.452733644749969
330190.637506130558904,4156693.511284982785583
330190.444262023083866,4156693.570739706978202
330190.277977903722785,4156693.651844335719943
330190.102858395490330,4156693.733129644300789
330189.953791257750709,4156693.791680993512273
330189.751938674831763,4156693.862412380054593
330189.558467677445151,4156693.910771161783487
330189.356388194253668,4156693.970406591426581
330189.181268700980581,4156694.051691921427846
330188.978508503874764,4156694.078039466403425
330188.776882841775659,4156694.159866840578616
330188.601990264665801,4156694.252248147036880
330188.416673948988318,4156694.267138383351266
330188.223202967259567,4156694.315497196745127
330188.020442776149139,4156694.341844765469432
330187.835807189228944,4156694.390022908803076
330187.650944693712518,4156694.427105091046542
330187.448638325906359,4156694.475644602905959
330187.255394260166213,4156694.535099406726658
330187.070758678833954,4156694.583277567755431
330186.885669282986782,4156694.609263802412897
330186.683136013452895,4156694.646707367151976
330186.489438136457466,4156694.683970258571208
330186.313411042792723,4156694.720871789380908
330186.110877777915448,4156694.758315370418131
330185.908117603743449,4156694.784662990830839
330185.723028212436475,4156694.810649252496660
330185.555382694816217,4156694.825178187340498
330185.352849434828386,4156694.862621786072850
330185.131737747811712,4156694.856042896863073
330184.946194535586983,4156694.859837245661765
330184.778549019421916,4156694.874366194941103
330184.575561938167084,4156694.889617882668972
330184.381637160899118,4156694.915784858167171
330184.204929340281524,4156694.919398539233953
330184.037510738940910,4156694.945023471489549
