stamp,ori_x,ori_y,ori_z,ori_w
1756981205.6696916,0.0,0.0,0.0,1.0
1756981205.6793835,0.0,0.0,0.0,1.0
1756981205.7051992,0.0,0.0,0.0,1.0
1756981205.7052348,0.0,0.0,0.0,1.0
1756981205.7052531,0.0,0.0,0.0,1.0
1756981205.7052703,0.0,0.0,0.0,1.0
1756981205.7052867,0.0,0.0,0.0,1.0
1756981205.7053037,0.0,0.0,0.0,1.0
1756981205.7053208,0.0,0.0,0.0,1.0
1756981205.70914,0.0,0.0,0.0,1.0
1756981205.7092113,0.0,0.0,0.0,1.0
1756981205.70924,0.0,0.0,0.0,1.0
1756981205.7092671,0.0,0.0,0.0,1.0
1756981205.7092988,0.0,0.0,0.0,1.0
1756981205.7093236,0.0,0.0,0.0,1.0
1756981205.7093496,0.0,0.0,0.0,1.0
1756981205.7295527,0.0,0.0,0.0,1.0
1756981205.7296116,0.0,0.0,0.0,1.0
1756981205.7297165,0.0,0.0,0.0,1.0
1756981205.7297938,0.0,0.0,0.0,1.0
1756981205.7298238,0.0,0.0,0.0,1.0
1756981205.729851,0.0,0.0,0.0,1.0
1756981205.7298787,0.0,0.0,0.0,1.0
1756981205.7493186,0.0,0.0,0.0,1.0
1756981205.7493691,0.0,0.0,0.0,1.0
1756981205.7493963,0.0,0.0,0.0,1.0
1756981205.749423,0.0,0.0,0.0,1.0
1756981205.7494485,0.0,0.0,0.0,1.0
1756981205.7494745,0.0,0.0,0.0,1.0
1756981205.7495003,0.0,0.0,0.0,1.0
1756981205.7693045,0.0,0.0,0.0,1.0
1756981205.769376,0.0,0.0,0.0,1.0
1756981205.7694058,0.0,0.0,0.0,1.0
1756981205.7694328,0.0,0.0,0.0,1.0
1756981205.7694583,0.0,0.0,0.0,1.0
1756981205.7694862,0.0,0.0,0.0,1.0
1756981205.7695374,0.0,0.0,0.0,1.0
1756981205.779444,0.0,0.0,0.0,1.0
1756981205.7970953,0.0,0.0,0.0,1.0
1756981205.7971296,0.0,0.0,0.0,1.0
1756981205.7971506,0.0,0.0,0.0,1.0
1756981205.7971685,0.0,0.0,0.0,1.0
1756981205.797186,0.0,0.0,0.0,1.0
1756981205.797202,0.0,0.0,0.0,1.0
1756981205.797219,0.0,0.0,0.0,1.0
1756981205.8166173,0.0,0.0,0.0,1.0
1756981205.816693,0.0,0.0,0.0,1.0
1756981205.8167489,0.0,0.0,0.0,1.0
1756981205.8167987,0.0,0.0,0.0,1.0
1756981205.816828,0.0,0.0,0.0,1.0
1756981205.8168569,0.0,0.0,0.0,1.0
1756981205.8168871,0.0,0.0,0.0,1.0
1756981205.8366206,0.0,0.0,0.0,1.0
1756981205.836693,0.0,0.0,0.0,1.0
1756981205.8367178,0.0,0.0,0.0,1.0
